match_number,team_key,ba_autoCoralCount_data,a_L4_data,a_L3_data,a_L2_data,a_L1_data,a_L4_wl,a_L3_wl,a_L2_wl,a_L1_wl,min_delta
34,4450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,9023,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
34,9450,7.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
35,2557,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3574,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,3674,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35,3826,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
35,4061,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,4131,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
36,4512,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36,488,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36,5937,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,6831,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,948,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,957,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
37,1425,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
37,360,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,3636,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,6343,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,6696,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
37,9036,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
38,10079,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,1778,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
38,2147,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,4043,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
38,5468,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
38,7034,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,10416,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,1540,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
39,2910,6.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
39,4125,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
39,4915,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
39,9442,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
40,2046,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
40,2522,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
40,2976,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,6443,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,955,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
40,9567,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
41,2471,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3218,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,4513,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
41,492,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
41,9023,5.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
41,997,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
42,1318,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42,3663,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
42,4469,4.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42,6831,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,9446,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,9450,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
43,2147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,2557,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
43,4450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,6343,2.0,0.0,0.0,0.0,0.0,,,,,0.0
43,9036,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
43,948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2910,6.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
44,4043,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
44,4125,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
44,488,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
44,5468,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
44,6696,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
45,1425,7.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
45,1540,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
45,3674,7.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
45,3826,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,4061,7.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,957,5.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
46,2471,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,2522,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
46,360,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
46,7034,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
46,9023,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,9442,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
47,10416,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,2046,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
47,2930,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
47,2976,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
47,4469,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47,4513,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,10079,6.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
48,1778,6.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
48,3218,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
48,4915,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
48,9446,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,9567,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
49,1318,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
49,3636,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,4131,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
49,5937,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,955,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
49,997,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,2412,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
50,3574,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,4512,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
50,492,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50,6443,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
50,9450,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
51,1425,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
51,2557,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2910,6.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
51,4061,6.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
51,4450,6.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
51,488,5.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
52,3826,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
52,4125,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,4513,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
