key,team_number,nickname,school_name,country,address,postal_code,gmaps_place_id,gmaps_url,location_name,website,rookie_year,lng,lat,name,city,state_prov,team_scouter,pit_alg_ground_intake,pit_auto_cor_L2,pit_auto_cor_L1,pit_auto_cor_L3,pit_auto_cor_L4,pit_auto_reef_remove,pit_auto_reef_intake,pit_auto_processor,pit_max_auto_cor,pit_max_auto_alg,pit_auto_net,pit_tele_cor_L3,pit_tele_cor_L4,pit_tele_cor_L1,pit_tele_processor,pit_tele_net,pit_Endgame,pit_Scout_Notes,pit_tele_cor_L2,pit_auto_collect,db_type,pit_cor_intake,pit_tele_reef_intake,pit_tele_reef_remove,pit_auto_place,pit_bumper_dim,ba_opr,ba_dpr,ba_ccwms
frc4043,4043,NerdHerd,Family/Community,USA,,97128,,,,http://www.nerdherd4043.org,2012,,,4-H/Argosy/Hack Club/First Federal/The Gene Haas Foundation/Newberg Steel/A-dec/OnPoint Community Credit Union/Evergreen Aviation & Space Museum/Family and Friends of NerdHerd&Family/Community,Lafayette,Oregon,Lily Cayden,0,0,0,0,1,0,Can't,0,2,0,0,1,1,1,0,0,Deep Climb,"8sec total climb time, 8 sec cycle time, ",1,,Swerve,Station,Both,1,1,,0,0,0
frc4488,4488,Shockwave,Glencoe High School,USA,,97124,,,,http://glencoerobotics.com/,2013,,,Lockheed Martin/ASM Research/Ogden Family Giving Fund/Intel/Mozilla Firefox/Davis Tool/Nvidia&Glencoe High School,Hillsboro,Oregon,suhaani,0,0,0,0,1,0,Can't,0,2,0,0,1,1,1,0,0,Deep Climb,,1,,Swerve,Station,Can't,0,1,,0,0,0
frc4662,4662,Byte Sized Robotics,Scappoose Middle School & Scappoose High School,USA,,97056,,,,https://www.bytesized4662.org,2013,,,Boeing/Samuel S Johnson Foundation/Northwest Regional ESD STEM Hub/Argosy Foundation/Applied Materials/Bradford Consulting Engineers/Western Heating and Cooling&Scappoose Middle School&Scappoose High School,Scappoose,Oregon,"Lily, Cayden",0,0,0,0,0,1,Can't,0,0,0,0,1,1,0,0,0,None,"Max 5 coral and 1 algae in match, 25 cycle time, ",1,,Swerve,Station,Both,1,0,,0,0,0
frc4692,4692,Metal Mallards,Toutle Lake School,USA,,98649,,,,http://www.firstinspires.org/,2013,,,OSPI/Washington First/Weyerhaeuser/Toutle Lake School Dist./5 Star Auto body/Mondial Group/Friends and Family &Toutle Lake School,Toutle,Washington,,0,0,0,0,0,0,Can't,0,0,0,0,0,0,0,0,0,None,,0,,Swerve,Can't,Can't,0,0,,0,0,0
frc5468,5468,Chaos Theory,Summit High School,USA,,97703,,,,http://summitrobotics.com,2015,,,PCC Schlosser/Trans Canada/Kendall/LAM Research/Pacific Power/Onto Innovation/Brooks Resources/Daimler Chrysler/Generac/Arrived/Polymaker/Alpine Eye Care/Willamette Valley Pies/Casscade Heating/Miller Lumber/Novunex&Summit High School,Bend,Oregon,"Lily,Cayden",0,0,0,0,1,1,L2,0,3,0,0,1,1,1,0,0,Deep Climb,"7s cycle, 15s climb time, extremely accomadative auto!!! L1 not as reliable, robust elevator, experienced DT, ",1,,Swerve,Station,Both,1,1,,0,0,0
frc5970,5970,Beavertronics,Beaverton High School,USA,,97005,,,,https://beavertronics5970.wixsite.com/bhs-robotics,2016,,,Argosy Foundation/LAM/Autodesk/Tektronix/DW Fritz/Intel/Thermo Fisher Scientific/BPS Robotics/PrintSync&Beaverton High School,Beaverton,Oregon,Michael and suhanni,0,0,1,0,0,0,Can't,0,1,0,0,0,0,1,0,0,Deep Climb,"""deep is really reliable""",0,,Tank,Station,Can't,0,0,,0,0,0
frc5975,5975,Beta Blues,St Mary's Academy,USA,,97201,,,,http://www.firstinspires.org/,2016,,,ESP Substains/Applied Plastics Machining/LAM/St. Mary's Academy&St Mary's Academy,Portland,Oregon,"Lily, Cayden",0,0,0,0,0,0,Can't,0,0,0,0,0,0,1,0,0,Deep Climb,"pneumatics, first time swerve, ",0,,Swerve,Station,Can't,0,0,,0,0,0
frc6343,6343,Steel Ridge,Ridgefield High School,USA,,98642,,,,https://steelridge6343.org,2017,,,"Washington OSPI/Ridgefield Lions/RTX-Raytheon/Torc Robotics, Inc/Intel/Dalley Family/IBM/Daimler/Hutton Family/The Dentist at Felida/The Siegel Family/Parr Lumber/Barbara & Scott Wall/Tektronix/The Sekelsky Family/Mod Pizza/Robert Dalley/Columbia West Engineering/Ridgefield Boosters/Wisdom Ridge Academy&Ridgefield High School",Ridgefield,Washington,suhaani,0,0,0,0,1,0,Can't,0,3,0,0,1,1,1,0,0,None,,1,,Swerve,Both Ways,Both,0,1,,0,0,0
frc6443,6443,AEMBOT,Liberty High School,USA,,97124,,,,http://www.aembot.com,2017,,,Hillsboro School District&Liberty High School,Hillsboro,Oregon,,0,0,0,0,1,0,Can't,0,2,0,0,1,1,1,0,0,Deep Climb,"7-10s cycle, 12 sec climb time, looks like Thora hammer, experienced DT, ",1,,Swerve,Both Ways,Both,1,1,,0,0,0
frc6696,6696,Cardinal Dynamics,Corbett High School,USA,,97019,,,,https://corbett.k12.or.us/robotics/,2017,,,Microchip/Argosy Foundation&Corbett High School,Corbett,Oregon,suhaani,0,0,0,0,1,0,Can't,0,2,0,0,1,1,0,0,1,None,,1,,Swerve,Station,Both,0,1,,0,0,0
frc6831,6831,A-05 Annex,Hood River Valley High School,USA,,97031,,,,https://www.a05annex.org,2018,,,Hood River Valley High School/Sierra Olympic Technologies/Cardinal Glass&Hood River Valley High School,Hood River,Oregon,"Cayden, Lily",0,1,0,0,0,1,L2,0,2,0,0,1,0,1,0,0,None,"7s cycle, can play defense, experienced DT",1,,Swerve,Station,Both,1,1,,0,0,0
frc753,753,High Desert Droids,Mountain View Sr High School,USA,,97701,,,,http://www.team753.org/,2002,,,iFixit/Outback Manufacturing/FIA Custom CNC/Zamp Solar/McDonald's Corporation&Mountain View Sr High School,Bend,Oregon,Suhaani,1,0,0,0,1,0,Can't,0,1,0,0,1,1,0,1,0,Deep Climb,,1,,Swerve,Station,Can't,1,0,2222222,0,0,0
frc9430,9430,CTEC Robotics,Career Technical Education Ctr,USA,,,,,,,2024,,,The Biddix Foundation/RAM SteelCo/Salem Electric/Garmin&Career Technical Education Ctr,Salem,Oregon,"Cayden, Lily",0,1,0,0,0,0,Can't,0,2,0,0,1,0,1,0,0,Deep Climb,"7-10 coral match,20s climb, experience DT,",1,,Swerve,Station,Both,1,1,,0,0,0
frc9567,9567,StormBreakers,Skyview High School,USA,,,,,,,2024,,,NASA/Boeing/Daimler Truck North America/Guaranteed Rate/Vancouver Public Schools/OSPI/ConMet/SEH America&Skyview High School,Vancouver,Washington,,1,0,1,0,0,0,Can't,0,1,0,0,0,0,1,1,0,Shallow Climb,they can remove or intake algae but if partner robot Knicks it on the ground they can intake it and score in processir,0,,Tank,Station,Can't,0,0,,0,0,0
frc957,957,SWARM - South and West Albany Robotics Maniacs,South Albany High School & West Albany High School,USA,,97321,,,,http://www.team957.com,2002,,,"Albany Public Schools Foundation/HP Inc./No Dinx/Argosy Foundation/LAM Research/Autodesk/Tektronix/Linn County Fair, Albany, OR/Benton County Fair Corvallis, OR/Albany Parks & Recreation/Harbor Freight/First Force/FIRST WA/Oregon Robotics Tournament & Outreach Program/Selmet Inc/Marie Lamfrom Foundation/Ram Steelco/Central Welding Supply/Burcham's Metals/Albany American Legion Post 10/Nathan Guthrie/West Albany High School/South Albany High School/LBCC Mechatronics/K & D Engineering/Christmas Storybook Land/Oregon Community Foundation/Albany Optimist Club/Ramage, Michelle/Yutzie, Jason/Coastal Farm and Ranch/Wheeler Family Foundation/Takena and Central PTC/Pacific Cast Technologies/See's Candy/Red Robin/Chipotle/Panda Express/Burgerville/Viper Northwest/Sherwin Williams/Campbell family&West Albany High School&South Albany High School",Albany,Oregon,"Cayden, Lily",0,0,0,0,0,0,Can't,0,0,0,0,0,0,0,0,0,None,,0,,Swerve,Can't,Can't,0,0,,0,0,0
frc9600,9600,X-Flare Robotics,Elkton High School,USA,,,,,,,2024,,,Argosy International/7Robotics/Roseburg Forest Products&Elkton High School,Elkton,Oregon,suhaani,1,0,1,0,0,0,Can't,0,3,0,0,0,0,1,0,0,Deep Climb,,0,,Swerve,Station,Can't,0,0,,0,0,0
frc997,997,Spartan Robotics,Corvallis High School,USA,,97330,,,,http://www.chsrobotics.org,2002,,,"HAAS/HP, Inc/Argosy Foundation/LAM Research/Corvallis Public School Foundation/Factorywiz/Marie Lamfrom Foundation/JW Gibbs Construction, LLC/Oregon State University - College of Oceanography and Atmospheric Sciences/Grocery Outlet&Corvallis High School",Corvallis,Oregon,"cayden, Lily",0,0,0,0,1,1,Both,0,1,0,0,1,1,1,1,0,None,,1,,Swerve,Station,Both,1,0,,0,0,0
