key,team_number,nickname,school_name,address,postal_code,name,gmaps_url,lat,gmaps_place_id,lng,location_name,website,rookie_year,country,city,state_prov,team_scouter,pit_auto_place,db_type,pit_auto_cor_L3,pit_auto_cor_L4,pit_auto_cor_L1,pit_auto_reef_intake,pit_max_auto_alg,pit_auto_processor,pit_auto_net,pit_tele_cor_L1,pit_max_auto_cor,pit_tele_cor_L4,pit_tele_reef_remove,pit_tele_reef_intake,pit_tele_processor,pit_tele_net,pit_Endgame,pit_Scout_Notes,pit_tele_cor_L2,pit_tele_cor_L3,pit_auto_reef_remove,pit_auto_cor_L2,pit_alg_ground_intake,pit_cor_intake,ba_opr,ba_dpr,ba_ccwms,ties,losses,wins,rank,team_key
frc3826,3826,"Sequim Robotics Federation ""SRF""",Sequim High School,,98382,Sequim School District CTE/OSPI/Boeing/Thomas Building Supply & Sequim High School,,,,,,http://sequimroboticsfederation.weebly.com/,2011,USA,Sequim,Washington,Elie rubi,1,Swerve,0,0,1,Can't,0,0,0,0,1,0,1,Both,1,0,Deep Climb,only scores coral in auto (prob a defense bot),0,0,0,0,Can,Can't,41.98116222429853,59.86521853722999,-17.88405631293144,1,5,2,45,frc3826
frc4043,4043,NerdHerd,Family/Community,,97128,4-H/Argosy/Hack Club/First Federal/The Gene Haas Foundation/Newberg Steel/A-dec/OnPoint Community Credit Union/Evergreen Aviation & Space Museum/Family and Friends of NerdHerd&Family/Community,,,,,,http://www.nerdherd4043.org,2012,USA,Lafayette,Oregon,Cayden,1,Swerve,0,1,0,Can't,0,0,0,1,3,1,1,Both,0,1,Deep Climb,"Not very reliable at L1, ",1,1,1,0,Can't,Station,59.221241636683445,70.61240645526681,-11.391164818583418,0,2,5,12,frc4043
frc4061,4061,SciBorgs,4H P.A.R.T.,,99163,Schweitzer Engineering Laboratories/Electrical Contractors Northwest/Boeing/TC Energy/BAE Systems/Real Digital/OSPI/Colfax Thrifty Grandmother's&4H P.A.R.T.,,,,,,http://sciborgs4061.com/,2012,USA,Pullman,Washington,Aa,1,Swerve,1,0,0,Can't,0,0,0,1,3,0,1,Can't,0,0,None,,1,1,1,1,Can't,Station,32.5943844949455,39.01466319955505,-6.420278704609698,0,3,4,30,frc4061
frc4125,4125,Confidential,Umatilla High School,,97882,Umatilla School District/21st Century Community Learning Center/Amazon Web Services/Darla Huxel/Uriel Aparicio&Umatilla High School,,,,,,http://www.umatillarobotics.org,2012,USA,Umatilla,Oregon,anvi,0,Swerve,0,0,0,Can't,0,0,0,1,0,0,1,Both,1,0,None,working on their auto and net algae rn,1,1,0,0,Can,Station,32.575421205877674,59.191316143646716,-26.615894937769024,0,8,0,50,frc4125
frc4131,4131,Iron Patriots,Liberty High School,,98059,The Boeing Company/Issaquah Schools Foundation/OSPI&Liberty High School,,,,,,http://www.frc4131.org,2012,USA,Renton,Washington,Rubi ellie,0,Swerve,0,0,1,Can't,0,0,0,0,1,0,0,Can't,1,0,Deep Climb,,0,0,0,0,Can,Can't,53.54813908483508,70.55775508435696,-17.009615999521834,0,4,4,27,frc4131
frc4450,4450,Olympia Robotics Federation,Capital High School & Avanti High School & Olympia High School,,98501,"The Community Foundation of South Puget Sound/Washington State Office of Superintendent of Public Education/Olympia School District/Plastics Extrusion Machinery/Boeing/Diamond Technology Innovations/H2OJet, Inc./Obee Credit Union/FastSigns, Inc./Capital Industrial, Inc/Christopher Cook/Google/Kiwanis International/Zeiglers Welding/Solidworks&Capital High School&Olympia High School&Avanti High School",,,,,,https://www.orf4450.org,2013,USA,Olympia,Washington,Cayden,1,Swerve,0,1,0,L3,2,0,1,1,2,1,1,Both,1,1,Deep Climb,,1,1,1,0,Can,Station,51.756820174819175,70.08143156770936,-18.32461139289014,1,4,3,34,frc4450
frc4469,4469,R.A.I.D. (Raider Artificial Intelligence Division),Thomas Jefferson High School,,98003,Washington OSPI/FIRST Washington/Boeing/Gene Haas Foundation/SPEEA/TJ Raider Parent Movement/Federal Way Public Schools&Thomas Jefferson High School,,,,,,https://raidrobotics.org,2013,USA,Federal Way,Washington,Aa,1,Swerve,0,1,0,Can't,0,0,0,1,2,1,1,Both,0,1,Deep Climb,Chill mentor,1,1,0,0,Can,Ground,59.266890173296744,76.09366856978798,-16.826778396491214,1,5,2,47,frc4469
frc4512,4512,Otter Chaos,Cascade High School,,98203,Boeing/OSPI/Everett School District/Bruin Community Parents/SPEEA/Palachuk Family&Cascade High School,,,,,,http://www.otterchaos4512.com,2013,USA,Everett,Washington,,0,Swerve,0,0,0,Can't,0,0,0,0,0,0,0,Can't,0,0,None,not there when I went to pit scout,0,0,0,0,Can't,Can't,75.74941927749227,33.06029900319167,42.6891202743006,0,3,5,18,frc4512
frc4513,4513,Circuit Breakers,Medical Lake High School,,99022,Washington State OSPI/Boeing/FIRST Washington/Bixby Machine Tool Supply/American Steel Corporation/2nd BioScience/Medical Lake Dollars for Scholars/Medical Lake School District/West Plains Angels&Medical Lake High School,,,,,,http://www.medicallakerobotics.com,2013,USA,Medical Lake,Washington,Rubi elie,1,Swerve,0,1,0,Can't,0,0,0,1,2,1,1,Can't,0,0,Deep Climb,10 sec climb,1,1,0,0,Can't,Station,78.24494799448229,60.384462457020675,17.860485537461635,0,4,4,16,frc4513
frc488,488,Team XBOT,Franklin High School,,98144,Microsoft Corporation/The Boeing Company/OSPI/SPEEA & Franklin High School,,,,,,http://www.teamxbot.org,2000,USA,Seattle,Washington,Cayden,1,Swerve,0,1,0,Can't,0,0,0,0,2,1,1,Both,0,1,None,2.5 coral auto,1,1,0,0,Can't,Station,51.557802455853135,58.78355167597698,-7.2257492201238,0,5,3,41,frc488
frc4915,4915,Spartronics,Bainbridge High School,,98110,Boeing/Bainbridge Schools Foundation/Office of Superintendent of Public Instruction/Microsoft/Bainbridge Island School District&Bainbridge High School,,,,,,http://spartronics4915.com/,2014,USA,Bainbridge Island,Washington,Aa,1,Swerve,0,1,1,Can't,0,0,0,1,3,1,1,Can't,0,0,Deep Climb,Have aembot autos,1,1,0,1,Can't,Station,62.40299178275988,46.05745028629118,16.34554149646866,0,3,4,19,frc4915
frc492,492,Titan Robotics Club,International School,,98005,Perpetual Technologies/Washington Office of Superintendent of Public Instruction/The Boeing Company/Asha Madhavan DDS/Microsoft&International School,,,,,,http://www.titanrobotics.com/,2001,USA,Bellevue,Washington,anvi,1,Swerve,0,1,0,Can't,0,0,0,1,2,1,1,Can't,0,0,Deep Climb,,1,1,0,0,Can't,Station,56.80301065858243,49.91808875812579,6.88492190045662,0,3,5,14,frc492
frc5468,5468,Chaos Theory,Summit High School,,97703,PCC Schlosser/Trans Canada/Kendall/LAM Research/Pacific Power/Onto Innovation/Brooks Resources/Daimler Chrysler/Generac/Arrived/Polymaker/Alpine Eye Care/Willamette Valley Pies/Casscade Heating/Miller Lumber/Novunex&Summit High School,,,,,,http://summitrobotics.com,2015,USA,Bend,Oregon,Elie rubi,0,Swerve,0,0,0,Can't,0,0,0,0,0,0,0,Can't,0,0,None,,0,0,0,0,Can't,Can't,84.40023649334003,67.51419727473859,16.886039218601464,0,5,3,22,frc5468
frc5937,5937,MI Robotics,Mercer Island High School,,98040,Bottle Crusher US/NUCOR Steel/OSPI/Kornblum Legal/Mercer Island ASB/Boeing/Sahara Pizza&Mercer Island High School,,,,,,https://www.team5937.org,2016,USA,Mercer Island,Washington,Cayden,0,Swerve,0,0,1,Both,2,0,1,0,1,0,1,Both,1,1,Deep Climb,,0,0,0,0,Can,Can't,70.24457050486203,60.88331364704415,9.361256857817903,0,3,4,15,frc5937
frc6343,6343,Steel Ridge,Ridgefield High School,,98642,"Washington OSPI/Ridgefield Lions/RTX-Raytheon/Torc Robotics, Inc/Intel/Dalley Family/IBM/Daimler/Hutton Family/The Dentist at Felida/The Siegel Family/Parr Lumber/Barbara & Scott Wall/Tektronix/The Sekelsky Family/Mod Pizza/Robert Dalley/Columbia West Engineering/Ridgefield Boosters/Wisdom Ridge Academy&Ridgefield High School",,,,,,https://steelridge6343.org,2017,USA,Ridgefield,Washington,Aa,1,Swerve,0,1,0,Can't,0,0,0,1,2,1,1,Can't,0,0,Deep Climb,,1,1,0,0,Can't,Both Ways,52.71282648696307,58.61290828776265,-5.900081800799586,0,3,4,24,frc6343
frc6443,6443,AEMBOT,Liberty High School,,97124,Hillsboro School District&Liberty High School,,,,,,http://www.aembot.com,2017,USA,Hillsboro,Oregon,anvi,1,Swerve,0,1,0,Can't,0,0,0,1,1,1,1,Can't,0,0,Deep Climb,Working on refining their algae capabilities at the moment,1,1,0,0,Can't,Station,20.495952396238096,82.67261021153334,-62.17665781529529,0,5,2,44,frc6443
frc6696,6696,Cardinal Dynamics,Corbett High School,,97019,Microchip/Argosy Foundation/Corbett Education Foundation&Corbett High School,,,,,,https://corbett.k12.or.us/robotics/,2017,USA,Corbett,Oregon,Elie rubi,1,Swerve,0,1,0,Can't,0,0,0,1,2,1,1,Both,0,1,None,,1,1,1,0,Can't,Station,62.3557912223948,49.85725386250697,12.49853735988777,0,4,4,32,frc6696
frc6831,6831,A-05 Annex,Hood River Valley High School,,97031,Hood River Valley High School/Sierra Olympic Technologies/Cardinal Glass&Hood River Valley High School,,,,,,https://www.a05annex.org,2018,USA,Hood River,Oregon,Cayden,1,Swerve,0,0,1,Both,0,0,0,1,2,0,1,Both,1,0,None,,1,1,1,1,Can't,Station,20.683470834949375,47.882298410012,-27.198827575062655,0,5,3,40,frc6831
frc7034,7034,2B Determined,West Linn High School,,97068,NASA/Boeing/Walsh Construction/Clackamas Steel & Manufacturing&West Linn High School,,,,,,,2018,USA,West Linn,Oregon,Aa,1,Swerve,0,1,0,Can't,0,0,0,1,3,1,1,Can't,0,0,Deep Climb,,1,1,0,0,Can't,Station,60.9731520986395,87.22047645573109,-26.247324357091525,0,6,2,33,frc7034
frc9023,9023,Future Martians,Family/Community,,,Boeing/Microsoft/Intel/Limited Productions/Metal Tech/MoviePosters.com/FIRST/FIRST WA&Family/Community,,,,,,,2023,USA,Sammamish,Washington,anvi,1,Swerve,0,1,0,Can't,0,0,0,1,3,1,1,Both,1,0,None,,1,1,0,0,Can,Both Ways,85.1748027601655,49.67499411429601,35.499808645869486,0,3,4,17,frc9023
frc9036,9036,Ramen Robotics,Bellevue Big Picture School,,,"Office of the Superintendent of Public Instruction (OSPI)/FIRST WA/Boeing/Bellevue Rotary Club/Gene Haas Foundation/Microsoft/Seattle Professional Engineering Employees Association (SPEEA)/Terrene, Inc./Toolcraft, Inc./Bellevue Schools Foundation/HellermannTyton/Bellevue Big Picture PTSA/Family & Friends of Ramen Robotics Team 9036&Bellevue Big Picture School",,,,,,,2023,USA,Bellevue,Washington,Aa,0,Swerve,0,0,1,Can't,0,0,0,1,1,1,1,Can't,0,0,None,,1,1,0,0,Can't,Both Ways,59.60090155083608,23.691178714794283,35.9097228360418,1,1,6,6,frc9036
frc9442,9442,Miso Mechanics,Family/Community,,,NASA/Feryok & Clarkson Machine and Marine/Boeing/Gene Haas Foundation/ElectroImpact/FIRST/Argosy Foundation/Weyerhaeuser/West Coast Products/Balls to the Walls Design/Fabworks/The Bonsma Family/North End Makerspace/Polymaker&Family/Community,,,,,,,2024,USA,Seattle,Washington,Cayden,1,Swerve,0,1,0,Can't,0,0,0,1,3,1,1,Both,0,1,None,,1,1,1,0,Can't,Ground,66.30809676095868,68.22638124498286,-1.9182844840242774,0,4,4,25,frc9442
frc9446,9446,C Cubed,Cascade Christian Jr Sr HS,,,NASA&Cascade Christian Jr Sr HS,,,,,,,2024,USA,Puyallup,Washington,Aa,0,Swerve,0,1,0,Can't,0,0,0,1,1,1,1,Both,1,0,None,,1,1,0,0,Can't,Station,44.365475456465596,66.47925923645946,-22.113783779993824,0,5,3,28,frc9446
frc9450,9450,Velocity Raptors,Woodinville High School,,,Northshore School District/OSPI/Dunn Lumber/Out of the Box Manufacturing /FIRST/Boeing/SPEEA /NASA/Gene Haas Foundation&Woodinville High School,,,,,,,2024,USA,Woodinville,Washington,Anvi ,1,Swerve,0,1,0,Can't,0,0,0,1,3,1,1,Both,1,1,Deep Climb,,1,1,1,0,Can,Both Ways,89.09887486597867,47.60422892922327,41.49464593675537,0,2,6,11,frc9450
frc948,948,NRG (Newport Robotics Group),Newport High School,,98006,NASA/The Boeing Company/Microsoft/Google/Bellevue Schools Foundation&Newport High School,,,,,,http://www.nrg948.com,2002,USA,Bellevue,Washington,Avani,1,Swerve,0,1,0,Can't,0,0,0,1,2,1,1,Can't,0,0,Deep Climb,"Sub 10 seconds for climb, have a pushout auto",1,1,0,0,Can't,Both Ways,46.6800280705443,66.98569514596383,-20.305667075419464,0,5,2,37,frc948
frc955,955,Ctrl C,Crescent Valley High School,,97330,Corvallis School District 509J/Friends of CV/Selma/Argosy Foundation/LAM Research/Stephen's Heating&Crescent Valley High School,,,,,,http://www.cv955.com,2002,USA,Corvallis,Oregon,Cayden,1,Swerve,0,1,0,Can't,0,0,0,1,4,1,1,Both,0,0,None,"Might be able to climb after comp, best at L2-4",1,1,0,1,Can't,Station,66.73498741527764,63.64226832771702,3.0927190875607,0,5,3,39,frc955
frc9567,9567,StormBreakers,Skyview High School,,,NASA/Boeing/Daimler Truck North America/Guaranteed Rate/Vancouver Public Schools/OSPI/ConMet/SEH America&Skyview High School,,,,,,,2024,USA,Vancouver,Washington,Aa,0,Tank,0,0,1,Can't,0,0,0,1,1,0,1,Can't,1,0,Shallow Climb,,0,0,0,0,Can,Station,40.476030003552204,92.20889097420739,-51.73286097065517,0,4,4,26,frc9567
frc957,957,SWARM - South and West Albany Robotics Maniacs,South Albany High School & West Albany High School,,97321,"Albany Public Schools Foundation/HP Inc./No Dinx/Argosy Foundation/LAM Research/Autodesk/Tektronix/Linn County Fair, Albany, OR/Benton County Fair Corvallis, OR/Albany Parks & Recreation/Harbor Freight/First Force/FIRST WA/Oregon Robotics Tournament & Outreach Program/Selmet Inc/Marie Lamfrom Foundation/Ram Steelco/Central Welding Supply/Burcham's Metals/Albany American Legion Post 10/Nathan Guthrie/West Albany High School/South Albany High School/LBCC Mechatronics/K & D Engineering/Christmas Storybook Land/Oregon Community Foundation/Albany Optimist Club/Ramage, Michelle/Yutzie, Jason/Coastal Farm and Ranch/Wheeler Family Foundation/Takena and Central PTC/Pacific Cast Technologies/See's Candy/Red Robin/Chipotle/Panda Express/Burgerville/Viper Northwest/Sherwin Williams/Campbell family&West Albany High School&South Albany High School",,,,,,http://www.team957.com,2002,USA,Albany,Oregon,anvi,1,Swerve,0,1,0,Can't,0,0,0,1,3,1,1,Can't,0,0,Deep Climb,Not great atb l1,1,1,1,0,Can't,Station,59.609865234859264,58.089573415818066,1.5202918190411845,0,4,4,21,frc957
frc997,997,Spartan Robotics,Corvallis High School,,97330,"HAAS/HP, Inc/Argosy Foundation/LAM Research/Corvallis Public School Foundation/Factorywiz/Marie Lamfrom Foundation/JW Gibbs Construction, LLC/Oregon State University - College of Oceanography and Atmospheric Sciences/Grocery Outlet&Corvallis High School",,,,,,http://www.chsrobotics.org,2002,USA,Corvallis,Oregon,Avani and Annika,1,Swerve,0,1,0,Can't,0,0,0,1,1,1,1,Both,1,0,None,Unreliable algae auto (unsure abt credibility of person talked to though),1,1,1,0,Can,Station,40.084398665579116,75.04442592781538,-34.9600272622362,0,5,3,35,frc997
