key,comp_level,set_number,match_number,team_key,a_Proc,start_Pos_5isBlue,a_reefAlgae,a_L1,t_Defense,t_timeFrozen,t_reefAlgae,t_Net,t_Proc,t_L4,t_L3,t_L2,t_L1,a_L3,end_Pos,a_L4,auto_Notes,tele_Notes,endgame_Notes,match_Scouter,a_L2,stuck_on_alg,a_Leave,a_Net,no_show,r1,b2,b3,ba_redscore,ba_bluescore,r2,r3,b1
2025pncmp_qm13,qm,1,13,frc3674,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc2147,frc948,frc2976,-1,-1,frc1318,frc3674,frc492
2025pncmp_qm13,qm,1,13,frc492,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc2147,frc948,frc2976,-1,-1,frc1318,frc3674,frc492
2025pncmp_qm13,qm,1,13,frc948,,,,,,,,,,,,,,,,,,,,,,,,,,frc2147,frc948,frc2976,-1,-1,frc1318,frc3674,frc492
2025pncmp_qm13,qm,1,13,frc2976,,,,,,,,,,,,,,,,,,,,,,,,,,frc2147,frc948,frc2976,-1,-1,frc1318,frc3674,frc492
2025pncmp_qm14,qm,1,14,frc4125,,,,,,,,,,,,,,,,,,,,,,,,,,frc4125,frc2046,frc957,-1,-1,frc4469,frc9442,frc9567
2025pncmp_qm14,qm,1,14,frc4469,,,,,,,,,,,,,,,,,,,,,,,,,,frc4125,frc2046,frc957,-1,-1,frc4469,frc9442,frc9567
2025pncmp_qm14,qm,1,14,frc9442,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc4125,frc2046,frc957,-1,-1,frc4469,frc9442,frc9567
2025pncmp_qm14,qm,1,14,frc9567,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc4125,frc2046,frc957,-1,-1,frc4469,frc9442,frc9567
2025pncmp_qm14,qm,1,14,frc2046,,,,,,,,,,,,,,,,,,,,,,,,,,frc4125,frc2046,frc957,-1,-1,frc4469,frc9442,frc9567
2025pncmp_qm14,qm,1,14,frc957,,,,,,,,,,,,,,,,,,,,,,,,,,frc4125,frc2046,frc957,-1,-1,frc4469,frc9442,frc9567
2025pncmp_qm15,qm,1,15,frc2522,,,,,,,,,,,,,,,,,,,,,,,,,,frc2522,frc1540,frc1778,-1,-1,frc3636,frc2557,frc4061
2025pncmp_qm15,qm,1,15,frc3636,,,,,,,,,,,,,,,,,,,,,,,,,,frc2522,frc1540,frc1778,-1,-1,frc3636,frc2557,frc4061
2025pncmp_qm15,qm,1,15,frc2557,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc2522,frc1540,frc1778,-1,-1,frc3636,frc2557,frc4061
2025pncmp_qm15,qm,1,15,frc4061,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc2522,frc1540,frc1778,-1,-1,frc3636,frc2557,frc4061
2025pncmp_qm15,qm,1,15,frc1540,,,,,,,,,,,,,,,,,,,,,,,,,,frc2522,frc1540,frc1778,-1,-1,frc3636,frc2557,frc4061
2025pncmp_qm15,qm,1,15,frc1778,,,,,,,,,,,,,,,,,,,,,,,,,,frc2522,frc1540,frc1778,-1,-1,frc3636,frc2557,frc4061
2025pncmp_qm16,qm,1,16,frc4915,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc2930,frc997,-1,-1,frc6696,frc9450,frc3574
2025pncmp_qm16,qm,1,16,frc6696,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc2930,frc997,-1,-1,frc6696,frc9450,frc3574
2025pncmp_qm16,qm,1,16,frc9450,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc4915,frc2930,frc997,-1,-1,frc6696,frc9450,frc3574
2025pncmp_qm16,qm,1,16,frc3574,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc2930,frc997,-1,-1,frc6696,frc9450,frc3574
2025pncmp_qm16,qm,1,16,frc2930,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc2930,frc997,-1,-1,frc6696,frc9450,frc3574
2025pncmp_qm16,qm,1,16,frc997,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc2930,frc997,-1,-1,frc6696,frc9450,frc3574
2025pncmp_qm17,qm,1,17,frc4043,,,,,,,,,,,,,,,,,,,,,,,,,,frc4043,frc955,frc6831,-1,-1,frc4512,frc360,frc4513
2025pncmp_qm17,qm,1,17,frc4512,,,,,,,,,,,,,,,,,,,,,,,,,,frc4043,frc955,frc6831,-1,-1,frc4512,frc360,frc4513
2025pncmp_qm17,qm,1,17,frc360,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc4043,frc955,frc6831,-1,-1,frc4512,frc360,frc4513
2025pncmp_qm17,qm,1,17,frc4513,,,,,,,,,,,,,,,,,,,,,,,,,,frc4043,frc955,frc6831,-1,-1,frc4512,frc360,frc4513
2025pncmp_qm17,qm,1,17,frc955,,,,,,,,,,,,,,,,,,,,,,,,,,frc4043,frc955,frc6831,-1,-1,frc4512,frc360,frc4513
2025pncmp_qm17,qm,1,17,frc6831,,,,,,,,,,,,,,,,,,,,,,,,,,frc4043,frc955,frc6831,-1,-1,frc4512,frc360,frc4513
2025pncmp_qm18,qm,1,18,frc2976,,,,,,,,,,,,,,,,,,,,,,,,,,frc2976,frc4131,frc9036,-1,-1,frc9446,frc488,frc3663
2025pncmp_qm18,qm,1,18,frc9446,,,,,,,,,,,,,,,,,,,,,,,,,,frc2976,frc4131,frc9036,-1,-1,frc9446,frc488,frc3663
2025pncmp_qm18,qm,1,18,frc488,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc2976,frc4131,frc9036,-1,-1,frc9446,frc488,frc3663
2025pncmp_qm18,qm,1,18,frc3663,,,,,,,,,,,,,,,,,,,,,,,,,,frc2976,frc4131,frc9036,-1,-1,frc9446,frc488,frc3663
2025pncmp_qm18,qm,1,18,frc4131,,,,,,,,,,,,,,,,,,,,,,,,,,frc2976,frc4131,frc9036,-1,-1,frc9446,frc488,frc3663
2025pncmp_qm18,qm,1,18,frc9036,,,,,,,,,,,,,,,,,,,,,,,,,,frc2976,frc4131,frc9036,-1,-1,frc9446,frc488,frc3663
2025pncmp_qm19,qm,1,19,frc6343,,,,,,,,,,,,,,,,,,,,,,,,,,frc6343,frc2910,frc2046,-1,-1,frc7034,frc948,frc2412
2025pncmp_qm19,qm,1,19,frc7034,,,,,,,,,,,,,,,,,,,,,,,,,,frc6343,frc2910,frc2046,-1,-1,frc7034,frc948,frc2412
2025pncmp_qm19,qm,1,19,frc948,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc6343,frc2910,frc2046,-1,-1,frc7034,frc948,frc2412
2025pncmp_qm19,qm,1,19,frc2412,,,,,,,,,,,,,,,,,,,,,,,,,,frc6343,frc2910,frc2046,-1,-1,frc7034,frc948,frc2412
2025pncmp_qm19,qm,1,19,frc2910,,,,,,,,,,,,,,,,,,,,,,,,,,frc6343,frc2910,frc2046,-1,-1,frc7034,frc948,frc2412
2025pncmp_qm19,qm,1,19,frc2046,,,,,,,,,,,,,,,,,,,,,,,,,,frc6343,frc2910,frc2046,-1,-1,frc7034,frc948,frc2412
2025pncmp_qm2,qm,1,2,frc948,0,3,0,0,0,0,2,0,0,2,2,0,5,0,Park,0,nothing special with the automode,decent robot with good coral scoring capabilities and fast ground collect.,just parked nothin special. i believe the attempted to climb but ran out of time.,naman,0,0,1,0,0,frc948,frc3663,frc9442,-1,-1,frc5468,frc4043,frc3218
2025pncmp_qm2,qm,1,2,frc5468,0,4,0,0,0,0,0,0,0,3,7,4,0,0,Deep Climb,3,really reliable and smooth,"fast and reliable, able to place everywhere really quickly. Only missed once",Climbed really fast and spent 7 sec in the air,Aarush V,0,0,1,0,0,frc948,frc3663,frc9442,-1,-1,frc5468,frc4043,frc3218
2025pncmp_qm2,qm,1,2,frc4043,0,5,0,0,0,0,0,0,0,2,0,5,0,0,Deep Climb,2,"Auto was ok, robot moved slowly but smoothly, placed one coral on l4, collected one from the station, placed on l4, ran out of time to collect a third one.","Mainly focused on coral cycles on level 2 (5 coral), and 2 coral on l4. Placing cycles were somewhat slow, and station collect was unreliable, as it took on average, 3-4 tries to get the coral in the robot. However, placing accuracy was not bad.","Drove to barge early, as it took them around 12 seconds for them to position and deep climb.",Dev Sharma,0,0,1,0,0,frc948,frc3663,frc9442,-1,-1,frc5468,frc4043,frc3218
2025pncmp_qm2,qm,1,2,frc3218,0,3,1,0,0,0,2,0,0,2,5,1,0,0,Deep Climb,1,looked try to remove 2nd algae ,"pretty fast at coral cycles, missed 1 L4, ","Very slow at deep cage, climbed at 25sec ",cayden,0,0,1,0,0,frc948,frc3663,frc9442,-1,-1,frc5468,frc4043,frc3218
2025pncmp_qm2,qm,1,2,frc3663,0,2,0,0,0,0,2,5,0,3,1,1,4,0,Deep Climb,2,"They were very good and fast, the were able to score 2coral but missed one, they collected a 4th coral though.",they were able to do coral fast and score algae in the barge. Cycle times 4 to 6 seconds ifsmooth to near reef. Longer if they had to go around or another robot got in their way,"good, fast climb. Took less than ten seconds to climb",Hendrix DAY,0,0,1,0,0,frc948,frc3663,frc9442,-1,-1,frc5468,frc4043,frc3218
2025pncmp_qm2,qm,1,2,frc9442,,,,,,,,,,,,,,,,,,,,,,,,,,frc948,frc3663,frc9442,-1,-1,frc5468,frc4043,frc3218
2025pncmp_qm20,qm,1,20,frc5937,,,,,,,,,,,,,,,,,,,,,,,,,,frc5937,frc4469,frc9023,-1,-1,frc2557,frc10079,frc9567
2025pncmp_qm20,qm,1,20,frc2557,,,,,,,,,,,,,,,,,,,,,,,,,,frc5937,frc4469,frc9023,-1,-1,frc2557,frc10079,frc9567
2025pncmp_qm20,qm,1,20,frc10079,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc5937,frc4469,frc9023,-1,-1,frc2557,frc10079,frc9567
2025pncmp_qm20,qm,1,20,frc9567,,,,,,,,,,,,,,,,,,,,,,,,,,frc5937,frc4469,frc9023,-1,-1,frc2557,frc10079,frc9567
2025pncmp_qm20,qm,1,20,frc4469,,,,,,,,,,,,,,,,,,,,,,,,,,frc5937,frc4469,frc9023,-1,-1,frc2557,frc10079,frc9567
2025pncmp_qm20,qm,1,20,frc9023,,,,,,,,,,,,,,,,,,,,,,,,,,frc5937,frc4469,frc9023,-1,-1,frc2557,frc10079,frc9567
2025pncmp_qm21,qm,1,21,frc2930,,,,,,,,,,,,,,,,,,,,,,,,,,frc2930,frc4061,frc3636,-1,-1,frc492,frc3218,frc4125
2025pncmp_qm21,qm,1,21,frc492,,,,,,,,,,,,,,,,,,,,,,,,,,frc2930,frc4061,frc3636,-1,-1,frc492,frc3218,frc4125
2025pncmp_qm21,qm,1,21,frc3218,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc2930,frc4061,frc3636,-1,-1,frc492,frc3218,frc4125
2025pncmp_qm21,qm,1,21,frc4125,,,,,,,,,,,,,,,,,,,,,,,,,,frc2930,frc4061,frc3636,-1,-1,frc492,frc3218,frc4125
2025pncmp_qm21,qm,1,21,frc4061,,,,,,,,,,,,,,,,,,,,,,,,,,frc2930,frc4061,frc3636,-1,-1,frc492,frc3218,frc4125
2025pncmp_qm21,qm,1,21,frc3636,,,,,,,,,,,,,,,,,,,,,,,,,,frc2930,frc4061,frc3636,-1,-1,frc492,frc3218,frc4125
2025pncmp_qm22,qm,1,22,frc4915,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc1540,frc4450,-1,-1,frc997,frc2147,frc4512
2025pncmp_qm22,qm,1,22,frc997,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc1540,frc4450,-1,-1,frc997,frc2147,frc4512
2025pncmp_qm22,qm,1,22,frc2147,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc1540,frc4450,-1,-1,frc997,frc2147,frc4512
2025pncmp_qm22,qm,1,22,frc4512,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc1540,frc4450,-1,-1,frc997,frc2147,frc4512
2025pncmp_qm22,qm,1,22,frc1540,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc1540,frc4450,-1,-1,frc997,frc2147,frc4512
2025pncmp_qm22,qm,1,22,frc4450,,,,,,,,,,,,,,,,,,,,,,,,,,frc4915,frc1540,frc4450,-1,-1,frc997,frc2147,frc4512
2025pncmp_qm23,qm,1,23,frc2471,,,,,,,,,,,,,,,,,,,,,,,,,,frc2471,frc1318,frc955,-1,-1,frc5468,frc3826,frc6696
2025pncmp_qm23,qm,1,23,frc5468,,,,,,,,,,,,,,,,,,,,,,,,,,frc2471,frc1318,frc955,-1,-1,frc5468,frc3826,frc6696
2025pncmp_qm23,qm,1,23,frc3826,,,,,,,,,,,,,,,,,,,,,,,,,,frc2471,frc1318,frc955,-1,-1,frc5468,frc3826,frc6696
2025pncmp_qm23,qm,1,23,frc6696,,,,,,,,,,,,,,,,,,,,,,,,,,frc2471,frc1318,frc955,-1,-1,frc5468,frc3826,frc6696
2025pncmp_qm23,qm,1,23,frc1318,,,,,,,,,,,,,,,,,,,,,,,,,,frc2471,frc1318,frc955,-1,-1,frc5468,frc3826,frc6696
2025pncmp_qm23,qm,1,23,frc955,,,,,,,,,,,,,,,,,,,,,,,,,,frc2471,frc1318,frc955,-1,-1,frc5468,frc3826,frc6696
2025pncmp_qm24,qm,1,24,frc957,,,,,,,,,,,,,,,,,,,,,,,,,,frc957,frc10416,frc2522,-1,-1,frc4043,frc1425,frc3574
2025pncmp_qm24,qm,1,24,frc4043,,,,,,,,,,,,,,,,,,,,,,,,,,frc957,frc10416,frc2522,-1,-1,frc4043,frc1425,frc3574
2025pncmp_qm24,qm,1,24,frc1425,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc957,frc10416,frc2522,-1,-1,frc4043,frc1425,frc3574
2025pncmp_qm24,qm,1,24,frc3574,,,,,,,,,,,,,,,,,,,,,,,,,,frc957,frc10416,frc2522,-1,-1,frc4043,frc1425,frc3574
2025pncmp_qm24,qm,1,24,frc10416,,,,,,,,,,,,,,,,,,,,,,,,,,frc957,frc10416,frc2522,-1,-1,frc4043,frc1425,frc3574
2025pncmp_qm24,qm,1,24,frc2522,,,,,,,,,,,,,,,,,,,,,,,,,,frc957,frc10416,frc2522,-1,-1,frc4043,frc1425,frc3574
2025pncmp_qm25,qm,1,25,frc1778,,,,,,,,,,,,,,,,,,,,,,,,,,frc1778,frc4513,frc3674,-1,-1,frc6443,frc9450,frc9442
2025pncmp_qm25,qm,1,25,frc6443,,,,,,,,,,,,,,,,,,,,,,,,,,frc1778,frc4513,frc3674,-1,-1,frc6443,frc9450,frc9442
2025pncmp_qm25,qm,1,25,frc9450,,1,,,,,,,,,,,,,None,,,,,,,0,,,0,frc1778,frc4513,frc3674,-1,-1,frc6443,frc9450,frc9442
2025pncmp_qm25,qm,1,25,frc9442,,,,,,,,,,,,,,,,,,,,,,,,,,frc1778,frc4513,frc3674,-1,-1,frc6443,frc9450,frc9442
2025pncmp_qm25,qm,1,25,frc4513,,,,,,,,,,,,,,,,,,,,,,,,,,frc1778,frc4513,frc3674,-1,-1,frc6443,frc9450,frc9442
2025pncmp_qm25,qm,1,25,frc3674,,,,,,,,,,,,,,,,,,,,,,,,,,frc1778,frc4513,frc3674,-1,-1,frc6443,frc9450,frc9442
2025pncmp_qm26,qm,1,26,frc7034,,,,,,,,,,,,,,,,,,,,,,,,,,frc7034,frc2930,frc2412,-1,-1,frc5937,frc488,frc9036
2025pncmp_qm26,qm,1,26,frc5937,,,,,,,,,,,,,,,,,,,,,,,,,,frc7034,frc2930,frc2412,-1,-1,frc5937,frc488,frc9036
2025pncmp_qm26,qm,1,26,frc488,,,,,,,,,,,,,,,,,,,,,,,,,,frc7034,frc2930,frc2412,-1,-1,frc5937,frc488,frc9036
2025pncmp_qm26,qm,1,26,frc9036,,,,,,,,,,,,,,,,,,,,,,,,,,frc7034,frc2930,frc2412,-1,-1,frc5937,frc488,frc9036
2025pncmp_qm26,qm,1,26,frc2930,,,,,,,,,,,,,,,,,,,,,,,,,,frc7034,frc2930,frc2412,-1,-1,frc5937,frc488,frc9036
2025pncmp_qm26,qm,1,26,frc2412,,,,,,,,,,,,,,,,,,,,,,,,,,frc7034,frc2930,frc2412,-1,-1,frc5937,frc488,frc9036
2025pncmp_qm27,qm,1,27,frc6831,,,,,,,,,,,,,,,,,,,,,,,,,,frc6831,frc4469,frc492,-1,-1,frc948,frc4915,frc4061
2025pncmp_qm27,qm,1,27,frc948,,,,,,,,,,,,,,,,,,,,,,,,,,frc6831,frc4469,frc492,-1,-1,frc948,frc4915,frc4061
2025pncmp_qm27,qm,1,27,frc4915,,,,,,,,,,,,,,,,,,,,,,,,,,frc6831,frc4469,frc492,-1,-1,frc948,frc4915,frc4061
2025pncmp_qm27,qm,1,27,frc4061,,,,,,,,,,,,,,,,,,,,,,,,,,frc6831,frc4469,frc492,-1,-1,frc948,frc4915,frc4061
2025pncmp_qm27,qm,1,27,frc4469,,,,,,,,,,,,,,,,,,,,,,,,,,frc6831,frc4469,frc492,-1,-1,frc948,frc4915,frc4061
2025pncmp_qm27,qm,1,27,frc492,,,,,,,,,,,,,,,,,,,,,,,,,,frc6831,frc4469,frc492,-1,-1,frc948,frc4915,frc4061
2025pncmp_qm28,qm,1,28,frc10079,,,,,,,,,,,,,,,,,,,,,,,,,,frc10079,frc4512,frc6696,-1,-1,frc4450,frc4125,frc2471
2025pncmp_qm28,qm,1,28,frc4450,,,,,,,,,,,,,,,,,,,,,,,,,,frc10079,frc4512,frc6696,-1,-1,frc4450,frc4125,frc2471
2025pncmp_qm28,qm,1,28,frc4125,,,,,,,,,,,,,,,,,,,,,,,,,,frc10079,frc4512,frc6696,-1,-1,frc4450,frc4125,frc2471
2025pncmp_qm28,qm,1,28,frc2471,,,,,,,,,,,,,,,,,,,,,,,,,,frc10079,frc4512,frc6696,-1,-1,frc4450,frc4125,frc2471
2025pncmp_qm28,qm,1,28,frc4512,,,,,,,,,,,,,,,,,,,,,,,,,,frc10079,frc4512,frc6696,-1,-1,frc4450,frc4125,frc2471
2025pncmp_qm28,qm,1,28,frc6696,,,,,,,,,,,,,,,,,,,,,,,,,,frc10079,frc4512,frc6696,-1,-1,frc4450,frc4125,frc2471
2025pncmp_qm29,qm,1,29,frc3826,,,,,,,,,,,,,,,,,,,,,,,,,,frc3826,frc9567,frc3663,-1,-1,frc2147,frc10416,frc3574
2025pncmp_qm29,qm,1,29,frc2147,,,,,,,,,,,,,,,,,,,,,,,,,,frc3826,frc9567,frc3663,-1,-1,frc2147,frc10416,frc3574
2025pncmp_qm29,qm,1,29,frc10416,,,,,,,,,,,,,,,,,,,,,,,,,,frc3826,frc9567,frc3663,-1,-1,frc2147,frc10416,frc3574
2025pncmp_qm29,qm,1,29,frc3574,,,,,,,,,,,,,,,,,,,,,,,,,,frc3826,frc9567,frc3663,-1,-1,frc2147,frc10416,frc3574
2025pncmp_qm29,qm,1,29,frc9567,,,,,,,,,,,,,,,,,,,,,,,,,,frc3826,frc9567,frc3663,-1,-1,frc2147,frc10416,frc3574
2025pncmp_qm29,qm,1,29,frc3663,,,,,,,,,,,,,,,,,,,,,,,,,,frc3826,frc9567,frc3663,-1,-1,frc2147,frc10416,frc3574
2025pncmp_qm3,qm,1,3,frc3674,0,1,0,0,0,0,0,0,0,4,4,2,0,0,Park,0,attempted level 4 but missed,fast cycle times and very similar to our robot in terms of placement and cycle time.,attempted to deep climb but I believe it was touching the bottom.,naman,0,0,1,0,0,frc3674,frc2976,frc7034,-1,-1,frc997,frc9450,frc1425
